,Year,Team
0,2019,UTA
1,2018,UTA
2,2017,GSW
3,2016,SAS
4,2015,SAS
5,2014,CHI
6,2013,MEM
7,2012,NYK
8,2011,ORL
9,2010,ORL
10,2009,ORL
11,2008,BOS
12,2007,DEN
13,2006,DET
14,2005,DET
15,2004,IND
16,2003,DET
17,2002,DET
18,2001,PHI
19,2000,MIA
20,1999,MIA
21,1998,ATL
22,1997,ATL
23,1996,SEA
24,1995,DEN
25,1994,HOU
26,1993,HOU
27,1992,SAS
28,1991,DET
29,1990,DET
30,1989,UTA
31,1988,CHI
32,1987,LAL
33,1986,SAS
34,1985,UTA
35,1984,MIL
36,1983,MIL
