,Year,First,Second
135,1994,Seattle SuperSonics,Seattle SuperSonics
136,1994,Atlanta Hawks,Golden State Warriors
137,1995,Chicago Bulls,Orlando Magic
138,1995,San Antonio Spurs,Indiana Pacers
139,1995,San Antonio Spurs,Denver Nuggets
140,1995,Seattle SuperSonics,Utah Jazz
141,1995,Atlanta Hawks,Seattle SuperSonics
142,1996,Chicago Bulls,Orlando Magic
143,1996,Chicago Bulls,Indiana Pacers
144,1996,San Antonio Spurs,Houston Rockets
145,1996,Seattle SuperSonics,Atlanta Hawks
146,1996,Chicago Bulls,Cleveland Cavaliers
147,1997,Chicago Bulls,Charlotte Hornets
148,1997,Utah Jazz,Miami Heat
149,1997,Atlanta Hawks,Houston Rockets
150,1997,Chicago Bulls,Atlanta Hawks
151,1997,Seattle SuperSonics,Utah Jazz
152,1998,Chicago Bulls,San Antonio Spurs
153,1998,Utah Jazz,New York Knicks
154,1998,Atlanta Hawks,San Antonio Spurs
155,1998,Seattle SuperSonics,Atlanta Hawks
156,1998,Chicago Bulls,Los Angeles Lakers
157,1999,San Antonio Spurs,Miami Heat
158,1999,Phoenix Suns,Philadelphia 76ers
159,1999,Miami Heat,Atlanta Hawks
160,1999,Seattle SuperSonics,Atlanta Hawks
161,1999,Utah Jazz,Charlotte Hornets
162,1999,Houston Rockets,
163,2000,San Antonio Spurs,Portland Trail Blazers
164,2000,Minnesota Timberwolves,Phoenix Suns
165,2000,Miami Heat,Los Angeles Lakers
166,2000,Seattle SuperSonics,Charlotte Hornets
167,2000,Los Angeles Lakers,Phoenix Suns
168,2001,San Antonio Spurs,Miami Heat
169,2001,Minnesota Timberwolves,Charlotte Hornets
170,2001,Philadelphia 76ers,Los Angeles Lakers
171,2001,Seattle SuperSonics,Los Angeles Lakers
172,2001,Phoenix Suns,Sacramento Kings
173,2002,San Antonio Spurs,San Antonio Spurs
174,2002,Minnesota Timberwolves,Detroit Pistons
175,2002,Detroit Pistons,Philadelphia 76ers
176,2002,Seattle SuperSonics,Los Angeles Lakers
177,2002,New Jersey Nets,Sacramento Kings
178,2003,San Antonio Spurs,Indiana Pacers
179,2003,Minnesota Timberwolves,San Antonio Spurs
180,2003,Detroit Pistons,Los Angeles Lakers
181,2003,Sacramento Kings,New Jersey Nets
182,2003,Los Angeles Lakers,Philadelphia 76ers
183,2004,Indiana Pacers,Utah Jazz
184,2004,Minnesota Timberwolves,San Antonio Spurs
185,2004,Detroit Pistons,Portland Trail Blazers
186,2004,San Antonio Spurs,Sacramento Kings
187,2004,Los Angeles Lakers,New Jersey Nets
188,2005,Detroit Pistons,Detroit Pistons
189,2005,Minnesota Timberwolves,Denver Nuggets
190,2005,San Antonio Spurs,Detroit Pistons
191,2005,San Antonio Spurs,Utah Jazz
192,2005,Washington Wizards,New Jersey Nets
193,2005,,Miami Heat
194,2006,San Antonio Spurs,San Antonio Spurs
195,2006,Detroit Pistons,Detroit Pistons
196,2006,Utah Jazz,Minnesota Timberwolves
197,2006,Sacramento Kings,Denver Nuggets
198,2006,Los Angeles Lakers,Detroit Pistons
199,2006,New Jersey Nets,
200,2007,San Antonio Spurs,Chicago Bulls
201,2007,San Antonio Spurs,Chicago Bulls
202,2007,Denver Nuggets,New Jersey Nets
203,2007,Los Angeles Lakers,Detroit Pistons
204,2007,Phoenix Suns,Minnesota Timberwolves
205,2008,Boston Celtics,Houston Rockets
206,2008,Los Angeles Lakers,New Orleans Hornets
207,2008,Denver Nuggets,Orlando Magic
208,2008,San Antonio Spurs,Detroit Pistons
209,2008,San Antonio Spurs,Phoenix Suns
210,2009,Orlando Magic,San Antonio Spurs
211,2009,Los Angeles Lakers,Miami Heat
212,2009,Cleveland Cavaliers,Boston Celtics
213,2009,New Orleans Hornets,Houston Rockets
214,2009,Boston Celtics,Houston Rockets
215,2010,Orlando Magic,San Antonio Spurs
216,2010,Boston Celtics,Miami Heat
217,2010,Cleveland Cavaliers,Atlanta Hawks
218,2010,Los Angeles Lakers,Cleveland Cavaliers
219,2010,Charlotte Bobcats,Oklahoma City Thunder
220,2011,Orlando Magic,Memphis Grizzlies
221,2011,Boston Celtics,New Orleans Hornets
222,2011,Miami Heat,Dallas Mavericks
223,2011,Los Angeles Lakers,Philadelphia 76ers
224,2011,Boston Celtics,Chicago Bulls
225,2012,Miami Heat,Boston Celtics
226,2012,Oklahoma City Thunder,Chicago Bulls
227,2012,Orlando Magic,New York Knicks
228,2012,Los Angeles Clippers,Boston Celtics
229,2012,Memphis Grizzlies,Los Angeles Lakers
230,2013,Miami Heat,San Antonio Spurs
231,2013,Oklahoma City Thunder,Indiana Pacers
232,2013,New York Knicks,Memphis Grizzlies
233,2013,Chicago Bulls,
234,2013,Memphis Grizzlies,Boston Celtics
235,2013,Los Angeles Clippers,Memphis Grizzlies
236,2014,Chicago Bulls,Miami Heat
237,2014,Indiana Pacers,Houston Rockets
238,2014,Los Angeles Clippers,Chicago Bulls
239,2014,Oklahoma City Thunder,San Antonio Spurs
240,2014,Golden State Warriors,Indiana Pacers
241,2015,San Antonio Spurs,New Orleans Pelicans
242,2015,Golden State Warriors,Chicago Bulls
243,2015,Memphis Grizzlies,Golden State Warriors
244,2015,Los Angeles Clippers,Washington Wizards
245,2015,Los Angeles Clippers,San Antonio Spurs
246,2016,San Antonio Spurs,Atlanta Hawks
247,2016,Golden State Warriors,Indiana Pacers
248,2016,Los Angeles Clippers,Miami Heat
249,2016,Boston Celtics,Memphis Grizzlies
250,2016,Los Angeles Clippers,Chicago Bulls
251,2017,Golden State Warriors,Memphis Grizzlies
252,2017,Utah Jazz,San Antonio Spurs
253,2017,San Antonio Spurs,New Orleans Pelicans
254,2017,Los Angeles Clippers,Oklahoma City Thunder
255,2017,Houston Rockets,Milwaukee Bucks
256,2018,Utah Jazz,Philadelphia 76ers
257,2018,New Orleans Pelicans,Golden State Warriors
258,2018,Indiana Pacers,Boston Celtics
259,2018,New Orleans Pelicans,San Antonio Spurs
260,2018,Philadelphia 76ers,Minnesota Timberwolves
261,2019,Utah Jazz,New Orleans Pelicans
262,2019,Oklahoma City Thunder,Golden State Warriors
263,2019,Milwaukee Bucks,Philadelphia 76ers
264,2019,Boston Celtics,Golden State Warriors
265,2019,Milwaukee Bucks,Toronto Raptors
